商单id,商单标题,需求类型,商单状态,预算范围,发布时间,项目进度,标签信息
1,零售店创建,电商数据,已完成,70~100,2025/11/26,已完成,NEW
2,小红书刷评论,刷评论,已完成,10~30,2025/11/29,已完成,HOT
3,python实训作业,期末作业,已完成,50~80,2025/12/2,进行中,HOT
4,学习管理平台,全栈开发,进行中,500~900,2025/12/21,进行中,NEW
5,抖音用户数据采集,爬虫,进行中,120~180,2025/12/23,进行中,HOT
6,java课程设计作业,期末作业,已完成,80~150,2025/12/18,已完成,HOT
7,电商平台商品评论点赞,刷评论,已完成,30~60,2025/12/15,已完成,HOT
8,个人博客网站搭建,全栈开发,进行中,600~1200,2025/12/20,进行中,NEW
9,知网文献摘要爬取,爬虫,已完成,90~130,2025/12/10,已完成,NEW
10,微信视频号互动量提升,刷评论,进行中,50~100,2025/12/22,进行中,HOT
11,数据结构课程设计,期末作业,进行中,70~120,2025/12/19,进行中,NEW
12,企业官网改版开发,全栈开发,已完成,800~1500,2025/12/8,已完成,HOT
13,微博话题数据爬取,爬虫,进行中,150~200,2025/12/24,进行中,NEW
14,Python 数据分析作业,期末作业,已完成,60~90,2025/12/12,已完成,HOT
15,快手视频爬取,视频爬虫,进行中,100~120,2025/12/12,进行中,NEW
16,测试,测试类,已完成,100~1000,2025/12/12,进行中,NEW
